id,user_id,daily_count,weekly_count,monthly_count,last_invite_at,reset_daily_at,reset_weekly_at,reset_monthly_at,created_at,updated_at
f7b06283-4051-4848-902c-1505477dca84,f3dedf79-5c5e-40fd-9513-d0fb0995d429,0,0,5,"""2026-02-18T10:03:58.674Z""","""2026-03-04T06:21:24.486Z""","""2026-03-04T10:36:16.513Z""","""2026-03-20T09:24:50.699Z""","""2026-02-18T09:24:50.625Z""","""2026-03-03T06:21:24.486Z"""
0bea8e24-16cc-4569-a225-6210130482de,00e1a36a-a77b-4bcc-b604-c5655a4ce802,0,0,0,,"""2026-02-25T12:42:19.171Z""","""2026-02-27T06:33:16.316Z""","""2026-03-22T06:33:16.316Z""","""2026-02-20T06:21:50.021Z""","""2026-02-24T12:42:19.171Z"""
249f10ce-d50c-4830-b7d8-aa17ab057a31,478c134c-c5c2-4c01-827b-d142352d4873,0,0,0,,"""2026-02-26T06:56:16.587Z""","""2026-03-04T06:56:16.587Z""","""2026-03-27T06:56:16.587Z""","""2026-02-25T06:56:16.285Z""","""2026-02-25T06:56:16.587Z"""
00a6cc78-08b3-4101-9724-ec44454c837a,2689ba70-b3b9-4425-b01a-fab003b29072,0,0,0,,"""2026-02-27T06:32:27.107Z""","""2026-03-05T06:32:27.107Z""","""2026-03-28T06:32:27.107Z""","""2026-02-26T06:31:28.077Z""","""2026-02-26T06:32:27.107Z"""
