id,name,description,created_at,updated_at
1,Tutorials,,1768556126954,1768556126954
2,Showcase,,1768556127091,1768556127091
3,Discussion,,1768556127228,1768556127228
4,Help,,1768556127341,1768556127341
6,设计相关,,1770024032087,1770024032087
7,艺术文化,,1770024032087,1770024032087
8,科技数码,,1770024032087,1770024032087
9,生活方式,,1770024032087,1770024032087
