id,user_id,title,description,layout_type,settings,stats,tags,is_public,created_at,updated_at
af374fbc-f0bd-4461-81fb-8112c615f920,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":1771146406639,""aiGeneratedNodes"":0}","[]",false,"""2026-02-15T09:06:47.137Z""","""2026-02-15T09:06:47.137Z"""
5561d26d-5a69-46e7-acfe-85d8afbcf256,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":1,""cultureNodes"":0,""lastActivityAt"":""2026-02-15 09:38:09.923338+00"",""aiGeneratedNodes"":1}","[]",false,"""2026-02-15T09:28:05.101Z""","""2026-02-15T09:38:09.923Z"""
3db489cf-f7e6-499e-9cf0-0f2e61544a80,78340927-c853-4978-a90f-f54d7c6883d2,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":1771767043797,""aiGeneratedNodes"":0}","[]",false,"""2026-02-22T13:30:42.870Z""","""2026-02-22T13:30:42.870Z"""
44e0c362-13eb-4e45-94ce-b6abb171f7b5,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":""2026-02-13 14:37:42.800304+00"",""aiGeneratedNodes"":0}","[]",false,"""2026-02-12T10:24:43.374Z""","""2026-02-12T10:24:43.374Z"""
36d07cd3-1b6e-48f9-9005-4f4ac301f5b5,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":1,""cultureNodes"":0,""lastActivityAt"":""2026-02-13 14:37:42.800304+00"",""aiGeneratedNodes"":0}","[]",false,"""2026-02-12T10:24:43.353Z""","""2026-02-12T10:24:53.104Z"""
9845a6c7-1d54-4b52-95d3-a0ff7eec12df,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":""2026-02-13 14:37:42.800304+00"",""aiGeneratedNodes"":0}","[]",false,"""2026-02-12T10:27:42.374Z""","""2026-02-12T10:27:42.374Z"""
952d8f41-8662-411a-9cb8-1c3ac1378bbc,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":""2026-02-13 14:37:42.800304+00"",""aiGeneratedNodes"":0}","[]",false,"""2026-02-12T10:27:42.378Z""","""2026-02-12T10:27:42.378Z"""
59a40db6-baae-4b3f-b843-ff2f3a7dfb09,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":""2026-02-13 14:37:42.800304+00"",""aiGeneratedNodes"":0}","[]",false,"""2026-02-13T06:16:28.001Z""","""2026-02-13T06:16:28.001Z"""
a327bd6e-ac22-4593-9337-6d21cd4bdcff,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":1771139995262,""aiGeneratedNodes"":0}","[]",false,"""2026-02-15T07:19:55.852Z""","""2026-02-15T07:19:55.852Z"""
05531184-1143-4104-ae80-c14bf9a23544,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":1771146406640,""aiGeneratedNodes"":0}","[]",false,"""2026-02-15T09:06:47.137Z""","""2026-02-15T09:06:47.137Z"""
